mode,tag,seed,train_datasets,test_dataset,n_train,n_test,attn_proxy_text,attn_proxy_egemap,attn_proxy_deep,accuracy,f1_weighted,f1_macro,auc_roc,brier_score,mcc,sensitivity,specificity,precision_dem,precision_ctrl
acoustic_hubert,AT->P,44,"['adress', 'taukadial']",pitt,240,495,,,,0.5515151515151515,0.5089931573802542,0.5209677419354839,0.6718708783962015,0.3029113411903381,0.2053166592324361,0.2720588235294117,0.8923766816143498,0.7551020408163265,0.5012594458438288
interaction_only,AT->P,42,"['adress', 'taukadial']",pitt,240,495,,,,0.692929292929293,0.6864692864692865,0.6896346896346897,0.7946864283830124,0.2320531457662582,0.4390351687253964,0.5367647058823529,0.8834080717488789,0.8488372093023255,0.6099071207430341
interaction_only,AT->P,43,"['adress', 'taukadial']",pitt,240,495,,,,0.6828282828282828,0.6746831221413385,0.6784131489979766,0.8015777499340544,0.2768040895462036,0.4249226037802371,0.5147058823529411,0.8878923766816144,0.8484848484848485,0.6
interaction_only,AT->P,44,"['adress', 'taukadial']",pitt,240,495,,,,0.6909090909090909,0.6842099379073063,0.6874600220368849,0.7877126747560009,0.2750701010227203,0.4357902186415989,0.5330882352941176,0.8834080717488789,0.847953216374269,0.6080246913580247
fusion_gated,AT->P,42,"['adress', 'taukadial']",pitt,240,495,0.94159334897995,0.0027441543061286,0.0556621961295604,0.6787878787878788,0.6660333211867389,0.6710331077663856,0.8060455684515959,0.2964970469474792,0.4374204338366169,0.4779411764705882,0.9237668161434978,0.8843537414965986,0.5919540229885057
fusion_gated,AT->P,43,"['adress', 'taukadial']",pitt,240,495,0.8647758960723877,0.015656417235732,0.1195674911141395,0.6909090909090909,0.6801866452131939,0.6846017699115045,0.8074221841202849,0.2591513991355896,0.4562522934721099,0.5,0.9237668161434978,0.8888888888888888,0.6023391812865497
fusion_gated,AT->P,44,"['adress', 'taukadial']",pitt,240,495,0.9533188939094543,0.0045498735271394,0.0421313345432281,0.7111111111111111,0.7048498112466981,0.7078874715769579,0.7922876549723028,0.2743566632270813,0.4784843084622044,0.5514705882352942,0.905829596412556,0.8771929824561403,0.6234567901234568
fusion_attn,AT->P,42,"['adress', 'taukadial']",pitt,240,495,0.5472192168235779,0.2252184748649597,0.2275620996952057,0.701010101010101,0.6943369687895236,0.697542689169997,0.821023476655236,0.2653502821922302,0.4581971334533477,0.5404411764705882,0.8968609865470852,0.8647058823529412,0.6153846153846154
fusion_attn,AT->P,43,"['adress', 'taukadial']",pitt,240,495,0.4454384744167328,0.278767466545105,0.2757938504219055,0.7232323232323232,0.721464476077404,0.7226845396068553,0.7948100764969666,0.2451644092798233,0.4758317128860367,0.6176470588235294,0.852017937219731,0.835820895522388,0.6462585034013606
fusion_attn,AT->P,44,"['adress', 'taukadial']",pitt,240,495,0.5191366672515869,0.2423216849565506,0.2385415732860565,0.7111111111111111,0.7114979300559863,0.7110356342438184,0.7869707860722763,0.2527428865432739,0.4318989723445094,0.6617647058823529,0.7713004484304933,0.7792207792207793,0.6515151515151515
linguistic,P->A,42,['pitt'],adress,495,138,,,,0.855072463768116,0.8541544261652957,0.8543074324324325,0.9535714285714284,0.1156094521284103,0.7217609426270871,0.9411764705882352,0.7714285714285715,0.8,0.9310344827586208
linguistic,P->A,43,['pitt'],adress,495,138,,,,0.8478260869565217,0.8475460466307148,0.8476260581523739,0.935189075630252,0.1139803454279899,0.6996357595766752,0.8970588235294118,0.8,0.8133333333333334,0.8888888888888888
linguistic,P->A,44,['pitt'],adress,495,138,,,,0.8478260869565217,0.8445762132047502,0.8448857249906332,0.9441176470588236,0.1266947239637375,0.7313217217300175,1.0,0.7,0.7640449438202247,1.0
acoustic_egemaps,P->A,42,['pitt'],adress,495,138,,,,0.5,0.4591796322489391,0.4612729844413012,0.6252100840336134,0.2449904382228851,0.0095632912958536,0.7794117647058824,0.2285714285714285,0.4953271028037383,0.5161290322580645
acoustic_egemaps,P->A,43,['pitt'],adress,495,138,,,,0.6086956521739131,0.5624015207733987,0.5644143090951602,0.7313025210084034,0.2332364469766616,0.2992693446474797,0.9411764705882352,0.2857142857142857,0.5614035087719298,0.8333333333333334
acoustic_egemaps,P->A,44,['pitt'],adress,495,138,,,,0.5797101449275363,0.5473145780051151,0.5490196078431373,0.7108193277310925,0.2377654910087585,0.1980987200906103,0.8529411764705882,0.3142857142857143,0.5471698113207547,0.6875
acoustic_w2v,P->A,42,['pitt'],adress,495,138,,,,0.5942028985507246,0.5591567852437417,0.5609090909090909,0.6741596638655462,0.3166742622852325,0.2383416092273349,0.8823529411764706,0.3142857142857143,0.5555555555555556,0.7333333333333333
acoustic_w2v,P->A,43,['pitt'],adress,495,138,,,,0.5797101449275363,0.5347624798711755,0.5368055555555555,0.6951680672268907,0.2748786807060241,0.2154146356036347,0.8970588235294118,0.2714285714285714,0.5446428571428571,0.7307692307692307
acoustic_w2v,P->A,44,['pitt'],adress,495,138,,,,0.6014492753623188,0.568911301067995,0.5705799151343706,0.6692226890756303,0.314132958650589,0.2526722226588703,0.8823529411764706,0.3285714285714285,0.5607476635514018,0.7419354838709677
